case_row_id,case_number,case_number_raw,district_id,court_name,pacer_id,case_name,assigned_to,referred_to,case_cause,jurisdictional_basis,date_filed,date_closed,date_last_filed,jury_demand,demand,lead_case,related_case,settlement,case_type_1,case_type_2,case_type_3,case_type_note
12594.0,1:05-cv-00680,1:05-cv-00680-HG-LK,hid,Hawaii District Court,22964.0,"Kowalski, et al v. Ocean Corporation, et al",JUDGE HELEN GILLMOR,JUDGE LESLIE E KOBAYASHI,28:1338 Patent Infringement,Federal Question,2005-10-26,2008-04-21,2008-04-21,Plaintiff,$0.00,,,,1.0,,,
10771.0,1:03-cv-00829,1:03-cv-00829,ilnd,Northern District of Illinois ,132217.0,"Recycling Sciences v. Four Seasons Env Inc, et al",Honorable Marvin E. Aspen,,35:183 Patent Infringement,Federal Question,2003-02-04,2004-06-03,2004-06-04,Both,$0.00,,,,1.0,,,
11285.0,1:03-cv-11250,1:03-cv-11250-MLW,mad,Massachusetts District Court,87068.0,"Tele-Cons, Inc. et al v. Harmony Lighting, Inc. et al",Judge Reginald C. Lindsay,District Judge Leo T. Sorokin,28:1338 Patent Infringement,Federal Question,2003-07-01,2009-03-19,2011-11-18,Both,,,1:04-cv-11497-RCL,,1.0,,,
13526.0,1:06-cv-01047,1:06-cv-01047-JAB-RAE,ncmd,Middle District of North Carolina,44693.0,"NEWELL WINDOW FURNISHINGS, INC. v. NIEN MADE ENTERPRISES CO., LTD.","CHIEF JUDGE JAMES A. BEATY, JR",MAG/JUDGE RUSSELL A. ELIASON,15:1126 Patent Infringement,Federal Question,2006-12-04,2007-12-12,2007-12-12,Both,,,,,3.0,,,
13789.0,1:06-cv-05135,1:06-cv-05135-PAC,nysd,Southern District of New York,286790.0,"Broadcast Data Retrieval Corporation et al v. Sirius Satellite Radio, Inc.",Judge Paul A. Crotty,,15:1126 Trademark - International Conventions,Federal Question,2006-07-06,2007-02-14,2007-02-13,,,,"1:05-cv-07495-PAC; 1:06-cv-14224-PAC; 1:06-cv-14224-PAC, /cgi-bin/DktRpt.pl?295488",,1.0,,,
10601.0,1:03-cv-00280,1:03-cv-00280-RJA,nywd,Western District of New York,8595.0,Williams Advanced v. Target Technology,Hon. Richard J. Arcara,,35:271 Patent Infringement,Federal Question,2003-04-08,2003-09-15,2010-04-12,,$0.00,,,,2.0,,,
14277.0,1:07-cv-00815,1:07-cv-00815-CG-C,alsd,Southern District of Alabama,42139.0,"SLT, LLC v. Tran et al",Judge Callie V. S. Granade,Magistrate Judge William E. Cassady,28:1338 Patent Infringement,Federal Question,2007-11-19,2009-05-06,2009-05-06,Plaintiff,,,,,6.0,,,
12600.0,1:05-cv-00694,1:05-cv-00694-P-M,alsd,Southern District of Alabama,37677.0,"Core Products, Inc. et al v. Acadiana Plastics Mfg., Inc. et al",Senior Judge Virgil Pittman,"Magistrate Judge Bert W. Milling, Jr",35:145 Patent Infringement,Federal Question,2005-12-02,2006-03-23,2006-03-23,Plaintiff,,,,,2.0,,,
12563.0,1:05-cv-00601,1:05-cv-00601-WS-C,alsd,Southern District of Alabama,37421.0,Gipson et al v. Mattox,Chief Judge William H. Steele,Magistrate Judge William E. Cassady,35:145 Patent Infringement,Federal Question,2005-10-17,2007-02-27,2007-03-29,,,,,,6.0,,,
10547.0,1:03-cv-00158,1:03-cv-00158-CB-C,alsd,Southern District of Alabama,5819.0,Centerpoint Mfg. v. Mistral Security,"Senior Judge Charles R. Butler, Jr",Magistrate Judge William E. Cassady,28:2201 Declaratory Judgement,Federal Question,2003-03-14,2003-07-30,2003-07-01,,$0.00,,,,3.0,,,
14226.0,1:07-cv-00716,1:07-cv-00716-WS-B,alsd,Southern District of Alabama,41885.0,"Cooney et al v. Surmodics, Inc. et al",Chief Judge William H. Steele,Magistrate Judge Sonja F. Bivins,35:145 Patent Infringement,Federal Question,2007-10-05,2007-11-02,2007-11-02,Plaintiff,,,,,6.0,,,
13323.0,1:06-cv-00413,1:06-cv-00413-CG-C,alsd,Southern District of Alabama,38956.0,"Sven-Peter Mannsfeld v. Phenolchemie, Inc. et al",Judge Callie V. S. Granade,Magistrate Judge William E. Cassady,15:1126 Patent Infringement,Federal Question,2006-07-14,2006-11-29,2006-12-05,Both,,,,,1.0,,,
12555.0,1:05-cv-00581,1:05-cv-00581-C,alsd,Southern District of Alabama,37394.0,"ITP Interpipe, Inc. et al v. Technip Offshore, Inc.",Magistrate Judge William E. Cassady,,28:1338 Patent Infringement,Federal Question,2005-10-11,2007-10-19,2007-10-19,Both,,,,,1.0,,,
12602.0,1:05-cv-00701,1:05-cv-00701-WS-B,alsd,Southern District of Alabama,37685.0,"The HomeBingo Network, Inc. v. Boiko et al",Chief Judge William H. Steele,Magistrate Judge Sonja F. Bivins,35:271 Patent Infringement,Federal Question,2005-12-05,2006-12-14,2006-12-15,Both,,,,,1.0,,,
14102.0,1:07-cv-00374,1:07-cv-00374-KD-B,alsd,Southern District of Alabama,40852.0,Berry v. Smith et al,Judge Kristi K. DuBose,Magistrate Judge Sonja F. Bivins,35:145 Patent Infringement,Federal Question,2007-05-23,2008-09-16,2008-09-24,,,,,,6.0,,,
10663.0,1:03-cv-00442,1:03-cv-00442-CB-D,alsd,Southern District of Alabama,33001.0,"Steel Processors, Inc. v. G.I.W. Industries, Inc.","Senior Judge Charles R. Butler, Jr",Judge Kristi K. DuBose,28:1338 Patent Infringement,Federal Question,2003-07-11,2004-04-07,2004-04-07,Plaintiff,,,,,2.0,,,
12130.0,1:04-cv-05936,1:04-cv-05936-OWW-SMS,caed,Eastern District of California ,18790.0,"Kverneland Group CA v. Korvan Industries, et al",Judge Oliver W. Wanger,Magistrate Judge Sandra M. Snyder,35:271 Patent Infringement,Federal Question,2004-07-06,2005-02-25,2005-02-25,Plaintiff,$0.00,,,,1.0,,,
12734.0,1:05-cv-01411,1:05-cv-01411-MLH-GSA,caed,Eastern District of California ,143363.0,Duhn Oil Tool Inc v. Cooper Cameron Corporation,District Judge Marilyn L. Huff,Magistrate Judge Gary S. Austin,35:271 Patent Infringement,Federal Question,2005-11-09,2013-12-20,2014-04-14,Plaintiff,,,,,1.0,,,
13195.0,1:06-cv-00098,1:06-cv-00098-LJO-DLB,caed,Eastern District of California ,145827.0,Parker-Hannifin Corp v. Wix Filtration Corporation,Chief Judge Lawrence J. O'Neill,Magistrate Judge Dennis L. Beck,15:1126 Patent Infringement,Federal Question,2006-01-30,2008-05-30,2008-05-30,Both,,,,,1.0,,,
13494.0,1:06-cv-00842,1:06-cv-00842-OWW-TAG,caed,Eastern District of California ,151479.0,California Table Grape Commission v. Sandrini et al,Judge Oliver W. Wanger,Magistrate Judge Theresa A. Goldner,35:271 Patent Infringement,Federal Question,2006-07-03,2007-07-06,2007-08-22,Defendant,,,,,1.0,,,
12428.0,1:05-cv-00200,1:05-cv-00200-OWW-DLB,caed,Eastern District of California ,133592.0,"Pelco v. Vigilos, Inc.",Judge Oliver W. Wanger,Magistrate Judge Dennis L. Beck,15:1126 Patent Infringement,Federal Question,2005-02-10,2005-04-08,2005-04-08,,,,,,3.0,,,
11182.0,1:03-cv-06633,1:03-cv-06633-OWW-SMS,caed,Eastern District of California ,15357.0,"Parker-Hannifin Corp v. Fleetguard, Inc.",Judge Oliver W. Wanger,Magistrate Judge Sandra M. Snyder,28:1331 Fed. Question,Federal Question,2003-11-19,2004-02-24,2004-02-24,Both,$0.00,,,,1.0,,,
11163.0,1:03-cv-06119,1:03-cv-06119-AWI-LJO,caed,Eastern District of California ,14572.0,"Visual Changes Skin, et al v. Physician's Choice",Judge Anthony W. Ishii,MJ Magistrate Judge Lawrence J. O'Neill,15:1126 Patent Infringement,Federal Question,2003-08-18,2005-02-09,2005-05-13,Both,$0.00,,,,2.0,,,Likely
12157.0,1:04-cv-06682,1:04-cv-06682-REC-DLB,caed,Eastern District of California ,19783.0,B & H Manufacturing v. Plasti-Kote Co.Inc.,Senior Judge Robert E. Coyle,Magistrate Judge Dennis L. Beck,28:1338 Trademark Infringement,Federal Question,2004-12-10,2005-03-17,2005-03-17,Plaintiff,$0.00,,,,1.0,,,Likely
12740.0,1:05-cv-01482,1:05-cv-01482-AWI-SMS,caed,Eastern District of California ,143814.0,"DUSA Pharmaceuticals, Inc., et al. v. Skin Deep, et al.",Judge Anthony W. Ishii,Magistrate Judge Sandra M. Snyder,35:271 Patent Infringement,Federal Question,2005-11-18,2006-01-13,2007-11-15,,,,,,1.0,,,
14399.0,1:07-cv-01610,1:07-cv-01610-SEH-JLT,caed,Eastern District of California ,169463.0,Delano Farms Company et al v. The California Table Grape Commission,District Judge Sam E. Haddon,Magistrate Judge Sandra M. Snyder,28:2201 Declaratory Judgement,Federal Question,2007-11-05,2013-09-12,2015-03-02,Plaintiff,,,"USCA -9th Circuit, 10-16906; Federal Circuit, 14-01030",,4.0,,,
12480.0,1:05-cv-00340,1:05-cv-00340-AWI-DLB,caed,Eastern District of California ,134606.0,B & H Manufacturing v. Dean Foods Company,Judge Anthony W. Ishii,Magistrate Judge Dennis L. Beck,35:271 Patent Infringement,Federal Question,2005-03-11,2005-04-21,2005-04-21,Plaintiff,,,,,1.0,,,
11151.0,1:03-cv-05741,1:03-cv-05741-REC-DLB,caed,Eastern District of California ,14444.0,"Lopes v. International Rubber, et al",Senior Judge Robert E. Coyle,Magistrate Judge Dennis L. Beck,15:1051 Trademark Infringement,Federal Question,2003-06-03,2003-08-22,2003-10-01,Plaintiff,$0.00,,,,1.0,,,Likely
12716.0,1:05-cv-01260,1:05-cv-01260-AWI-DLB,caed,Eastern District of California ,141899.0,Ferraris Respiratory Inc. Alliance Tech Medical Inc. et al,Judge Anthony W. Ishii,Magistrate Judge Dennis L. Beck,15:1126 Patent Infringement,Federal Question,2005-09-30,2006-09-05,2006-09-05,Plaintiff,,,,,1.0,,,
12144.0,1:04-cv-06386,1:04-cv-06386-OWW-DLB,caed,Eastern District of California ,19152.0,"Stiletto Tools Inc v. Vaughan & Bushnell, et al",Judge Oliver W. Wanger,Magistrate Judge Dennis L. Beck,35:183 Patent Infringement,Federal Question,2004-10-08,2005-08-09,2005-08-09,Both,$0.00,,,,1.0,,,
12133.0,1:04-cv-06010,1:04-cv-06010-AWI-SMS,caed,Eastern District of California ,18977.0,Duhn Oil Tool Inc v. Robbins and Myers En,Judge Anthony W. Ishii,Magistrate Judge Sandra M. Snyder,35:271 Patent Infringement,Federal Question,2004-07-27,2006-02-21,2006-02-21,Defendant,$0.00,,,,1.0,,,
12509.0,1:05-cv-00406,1:05-cv-00406-REC-SMS,caed,Eastern District of California ,135219.0,Calphalon Corporation v. Meyer Corporation U.S.A.,Senior Judge Robert E. Coyle,Magistrate Judge Sandra M. Snyder,35:271 Patent Infringement,Federal Question,2005-03-28,2005-05-17,2005-05-17,,,,,,1.0,,,
11142.0,1:03-cv-05499,1:03-cv-05499-OWW-DLB,caed,Eastern District of California ,14274.0,"Simplified Implant v. Institut Straumann, et al",Judge Oliver W. Wanger,Magistrate Judge Dennis L. Beck,35:271 Patent Infringement,Federal Question,2003-04-21,2004-03-30,2004-03-30,Both,$0.00,,,,1.0,,,
12102.0,1:04-cv-05160,1:04-cv-05160-JKS,caed,Eastern District of California ,18128.0,"Ideaflood, Inc v. America's Online, et al",Senior Judge James K. Singleton,,15:1126 Patent Infringement,Federal Question,2004-01-23,2005-07-26,2005-07-27,Plaintiff,$0.00,,,,1.0,,,
13512.0,1:06-cv-00985,1:06-cv-00985-OWW-LJO,caed,Eastern District of California ,152335.0,"Fresno Valves & Castings, Inc. v. B-K Lighting, Inc.",Judge Oliver W. Wanger,MJ Magistrate Judge Lawrence J. O'Neill,15:1126 Patent Infringement,Federal Question,2006-07-28,2006-09-05,2006-09-05,Plaintiff,,,,,2.0,,,
11146.0,1:03-cv-05655,1:03-cv-05655-DLB,caed,Eastern District of California ,14244.0,"U.R. Machinery, Inc, et al v. Grapekist, Inc",Magistrate Judge Dennis L. Beck,,15:1126 Patent Infringement,Federal Question,2003-05-21,2004-10-12,2004-10-12,Both,$0.00,,,,1.0,,,
11154.0,1:03-cv-05809,1:03-cv-05809-AWI-SMS,caed,Eastern District of California ,14622.0,"Krauth, et al v. Phelps Dodge Corp",Judge Anthony W. Ishii,Magistrate Judge Sandra M. Snyder,15:1126 Patent Infringement,Federal Question,2003-06-12,2004-03-12,2004-03-15,Both,$0.00,,,,1.0,,,
11169.0,1:03-cv-06406,1:03-cv-06406-AWI-LJO,caed,Eastern District of California ,14904.0,"Premier Mechanical v. E D Kilby Mftg, et al",Judge Anthony W. Ishii,MJ Magistrate Judge Lawrence J. O'Neill,35:271 Patent Infringement,Federal Question,2003-10-08,2005-01-26,2005-01-26,Both,$0.00,,,,1.0,,,
13275.0,1:06-cv-00284,1:06-cv-00284-AWI-TAG,caed,Eastern District of California ,147401.0,"B& H Manufacturing Company, Inc. v. Kraft Foods Global, Inc.",Judge Anthony W. Ishii,Magistrate Judge Theresa A. Goldner,28:1338 Patent Infringement,Federal Question,2006-03-14,2007-02-14,2007-02-14,Both,,,,,1.0,,,
