case_row_id,case_number,case_number_raw,district_id,doc_count,doc_number,short_description,long_description,attachment,doc_date_filed,doc_date_uploaded,document_url
725,0:03-cv-00857,0:03-cv-00857-DWF-SRN,mnd,1,6.0,,STIPULATION OF DISMISSAL 1 pg(s) (VEM) (Entered: 07/01/2003),,2003-06-30,2003-07-01,
725,0:03-cv-00857,0:03-cv-00857-DWF-SRN,mnd,5,2.0,,AMENDED COMPLAINT [1-1] by plaintiff; adding plaintiff Fantom Optics 6pg(s) (DFL) (Entered: 05/13/2003),,2003-05-07,2003-05-13,
725,0:03-cv-00857,0:03-cv-00857-DWF-SRN,mnd,8,1.0,,COMPLAINT - Summons issued. Assigned to Judge Donovan W. Frank per Patent list and referred to Magistrate Judge Susan R. Nelson Receipt No. 264481 6pg(s) plus exhibits (GJS) (Entered: 01/17/2003),,2003-01-15,2003-01-17,
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,1,20.0,,TRANSCRIPT OF Settlement Agreement held 5/23/03 by Magistrate Judge Raymond L. Erickson ( Jean Arends/Reporters Diversified Services) 9pg(s) (SEPARATE) (JMH) (Entered: 02/06/2004),,2004-02-06,2004-02-06,
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,2,19.0,,"REQUEST by plaintiff Neuroscience, Inc for transcript of settlement hearing before Magistrate Judge Raymond L Erickson on 5/23/03. 1pg (SEA) (Entered: 02/03/2004)",,2004-02-03,2004-02-03,
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,3,18.0,,"ORDER OF DISMISSAL (Judge Richard H. Kyle / 6/2/03) that this action is dismissed with prejudice, the Court retaining jurisdiction for sixty (60) days to permit any party to move to reopen the action, for good cause shown, or to submit and file a stipulated form of final judgment, or to seek enforcement of the settlement terms. 1pg(s) (cc: all counsel) (GJS) (Entered: 06/06/2003)",,2003-06-02,2003-06-06,/cgi-bin/show_doc.pl?caseid=17518&de_seq_num=19&dm_id=58322&doc_num=18&pdf_header=1
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,13,8.0,,PRETRIAL ORDER ( Magistrate Judge Raymond L. Erickson / 5/6/03) ; amd complaint set for 8/1/03 ; discovery set for 1/1/04 ; non-dispositive motions set for 2/1/04 ; dispositive motions set for 4/1/04 ; ready for trial set for 5/1/04 5pg(s) (cc: counsel) ( (Entered: 05/06/2003),,2003-05-06,2003-05-06,/cgi-bin/show_doc.pl?caseid=17518&de_seq_num=9&dm_id=58321&doc_num=8&pdf_header=1
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,15,6.0,,"SETTLEMENT CONFERENCE ORDER ( Magistrate Judge Raymond L. Erickson / 5/5/03) ; settlement conference set for 10:00 5/23/03in Duluth, MN 2pg(s) (cc: all counsel) (JMH) (Entered: 05/05/2003)",,2003-05-05,2003-05-05,/cgi-bin/show_doc.pl?caseid=17518&de_seq_num=7&dm_id=58320&doc_num=6&pdf_header=1
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,18,3.0,,"ANSWER to complaint [1-1] and COUNTERCLAIM by defendant Martin Hinz against plaintiff Neuroscience, Inc 28pg(s) (JMH) (Entered: 02/19/2003)",,2003-02-19,2003-02-19,
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,19,2.0,,RETURN OF SERVICEof Summons and Complaint executed upon defendant Martin Hinz by serving Aaron Hinz as son of Dr. Martin Hinz on 1/27/03 2pg(s) (GJS) (Entered: 02/06/2003),,2003-01-31,2003-02-06,
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,20,1.0,,COMPLAINT - Summons issued. Assigned to Judge Richard H. Kyle per Patent list and referred to Magistrate Judge Raymond L. Erickson 5:03UL 10; Receipt #264729 14pg(s) (PAK) Modified on 01/16/2003 (Entered: 01/16/2003),,2003-01-16,2003-01-16,
