case_row_id,case_number,case_number_raw,district_id,party_row_count,party_type,name,name_long
725,0:03-cv-00857,0:03-cv-00857-DWF-SRN,mnd,3044,Defendant,"Safilo USA, Inc.","Safilo USA, Inc."
726,0:03-cv-00868,0:03-cv-00868-RHK-RLE,mnd,479702,Counter Claimant,Dr  Martin Hinz,Dr  Martin Hinz
727,0:03-cv-00968,0:03-cv-00968-JNE-JGL,mnd,3052,Counter Claimant,Michael Degerness,Michael Degerness
728,0:03-cv-00993,0:03-cv-00993-JNE-RLE,mnd,3056,Defendant,Alumacraft Boat Co,Alumacraft Boat Co
729,0:03-cv-01016,0:03-cv-01016-JRT-FLN,mnd,3058,Defendant,"AS Hospitality, Inc.","AS Hospitality, Inc."
730,0:03-cv-01032,0:03-cv-01032-JMR-FLN,mnd,3061,Counter Claimant,Benjamin Obdyke Inc.,Benjamin Obdyke Inc.
731,0:03-cv-01064,0:03-cv-01064-DWF-RLE,mnd,430155,Counter Claimant,Koninklijke Philips Electronics NV,Koninklijke Philips Electronics NV
732,0:03-cv-01160,0:03-cv-01160-MJD-JGL,mnd,3071,Defendant,"Anderson Environmental Systems, Inc.","Anderson Environmental Systems, Inc."
733,0:03-cv-01183,0:03-cv-01183-JRT-FLN,mnd,3075,Counter Claimant,Wagner Spray Tech Corporation,Wagner Spray Tech Corporation
734,0:03-cv-01189,0:03-cv-01189-DSD-SRN,mnd,3079,Counter Claimant,"Medical Research Laboratories, Inc.","Medical Research Laboratories, Inc."
735,0:03-cv-02128,0:03-cv-02128-DSD-JSM,mnd,3083,Defendant,"Classen Manufacturing, Inc.,","Classen Manufacturing, Inc.,"
736,0:03-cv-02231,0:03-cv-02231-JNE-SRN,mnd,3086,Counter Claimant,JohnsonDiversey,JohnsonDiversey
737,0:03-cv-02462,0:03-cv-02462-PAM-RLE,mnd,3091,Defendant,"Fire Barrier Installations, Inc.,","Fire Barrier Installations, Inc.,"
