case_row_id,case_number,district_id,nos,date_filed,case_name,case_type_1,case_type_2,case_type_3,case_type_note,patent,patent_doc_type
1374.0,0:10-cv-02630,mnd,830.0,2010-06-25,3M Company et al v. Avery Dennison Corporation,1.0,,,,3932328,Patent
36238.0,2:06-cv-13311,mied,830.0,2006-07-21,"L and P Property Management Company et al v. JTMD, L. L. C.",1.0,,,,3932903,Patent
65913.0,5:11-cv-00016,txed,830.0,2011-01-24,GHJ Holdings v. Taylor Company Inc. et al,5.0,,,,3934427,Patent
725.0,0:03-cv-00857,mnd,830.0,2003-01-15,"Fantom Optics, et al v. Safilo USA, Inc.",,,,Case type not available,5696571,Patent
726.0,0:03-cv-00868,mnd,830.0,2003-01-16,"Neuroscience, Inc v. Hinz",2.0,,,,6384088,Patent
727.0,0:03-cv-00968,mnd,830.0,2003-01-30,"Magnum Research, Inc v. Degerness, et al",1.0,,,,6457274,Patent
728.0,0:03-cv-00993,mnd,830.0,2003-02-03,"Crestliner, Inc. v. Alumacraft Boat Co",1.0,,,,5108321,Patent
729.0,0:03-cv-01016,mnd,830.0,2003-02-04,"Taylor Corporation v. AS Hospitality, Inc.",1.0,,,Likely,6153278,Patent
730.0,0:03-cv-01032,mnd,830.0,2003-02-06,Diversi-Plast Prod. v. Benjamin Obdyke Inc.,2.0,,,,4942699,Patent
731.0,0:03-cv-01064,mnd,830.0,2003-02-12,"Cardiac Science, Inc v. Koninklijke Philips, et al",1.0,,,,5897576,Patent
732.0,0:03-cv-01160,mnd,830.0,2003-02-21,"Ecolab Inc. v. Anderson Environment, et al",1.0,,,,5365690,Patent
733.0,0:03-cv-01183,mnd,830.0,2003-02-25,Diversified Dynamics v. Wagner Spray Tech,1.0,,,,4810123,Patent
734.0,0:03-cv-01189,mnd,830.0,2003-02-25,"Cardiac Science, Inc v. Medical Research",1.0,,,,5579919,Patent
735.0,0:03-cv-02128,mnd,830.0,2003-03-03,"Turfco Mfg Inc v. Classen Enterprises, et al",2.0,,,Likely,6102129,Patent
736.0,0:03-cv-02231,mnd,830.0,2003-03-07,"Ecolab, Inc. v. JohnsonDiversey",1.0,,,,6495494,Patent
737.0,0:03-cv-02462,mnd,830.0,2003-03-14,3M Company v. Fire Barrier,,,,Case type not available,5105592,Patent
738.0,0:03-cv-02477,mnd,830.0,2003-03-17,"CIMA Labs Inc, et al v. KV Pharmaceutical Co, et al",1.0,,,,6024981,Patent
739.0,0:03-cv-02499,mnd,830.0,2003-03-18,"Bondhus Corporation v. Big Roc Tools, Inc.",1.0,,,,D382190,Patent
740.0,0:03-cv-02825,mnd,830.0,2003-04-08,Nilfisk-Advance Inc v. NSS Enterprises Inc,1.0,,,,6397429,Patent
741.0,0:03-cv-02848,mnd,830.0,2003-04-11,Travelers Express v. Transaction Tracking,1.0,,,,4625275,Patent
742.0,0:03-cv-02940,mnd,830.0,2003-04-23,"Firepond, Inc. v. Banter, Inc.",1.0,,,,6411942,Patent
743.0,0:03-cv-02987,mnd,830.0,2003-04-30,Campbell Hausfeld v. Coleman Powermate,,,,Case type not available,6431834,Patent
744.0,0:03-cv-02988,mnd,830.0,2003-04-30,"Cardiac Science, Inc v. Defibtech, LLC.",1.0,,,,5579919,Patent
745.0,0:03-cv-02999,mnd,830.0,2003-05-02,"IMI Cornelius Inc., et al v. Lancer Corporation, et al",1.0,,,,4916910,Patent
746.0,0:03-cv-03060,mnd,830.0,2003-05-05,Universal Recovery v. MarCom Technologies,1.0,,,Likely,6285752,Patent
747.0,0:03-cv-03084,mnd,830.0,2003-05-06,I-Tech Corporation v. Ancot Corporation,1.0,,,,6393587,Patent
748.0,0:03-cv-03165,mnd,830.0,2003-05-12,"Firepond, Inc. v. RightNow Technolog",1.0,,,Likely,6411947,Patent
749.0,0:03-cv-03178,mnd,830.0,2003-05-14,"Ecolab Inc. v. JohnsonDiversey, Inc",1.0,,,,5832972,Patent
750.0,0:03-cv-03187,mnd,830.0,2003-05-15,"Facilitec Corp., et al v. Omni Containment",1.0,,,,5196040,Patent
751.0,0:03-cv-03206,mnd,830.0,2003-05-16,"Rosen's, Inc., et al v. Van Diest Supply Co, et al",1.0,,,,6425529,Patent
