pat_no,claim_no,word_ct,char_ct,or_ct,sf_ct,cns_ct,ind_flg,appl_id
3930271,4,53,299,0,0,0,1,
3930271,2,31,194,0,0,0,0,
3930271,3,66,452,0,0,0,1,
3930271,1,53,347,0,0,0,1,
3930274,6,29,164,0,0,0,0,
3930274,7,39,243,0,0,0,0,
3930274,1,227,1453,1,0,0,1,
3930274,4,47,287,0,0,0,0,
3930274,3,30,195,0,0,0,0,
3930274,2,48,305,0,0,0,0,
3930274,5,43,247,0,0,0,0,
3930276,9,23,145,0,0,0,0,
3930276,2,122,715,0,0,0,1,
3930276,10,34,199,0,0,0,0,
3930276,3,183,1051,0,0,0,1,
3930276,6,82,500,0,0,0,0,
3930276,8,42,252,0,0,0,0,
3930276,4,93,579,0,0,0,1,
3930276,5,29,171,0,0,0,0,
3930276,12,129,769,0,0,0,1,
3930276,1,95,550,0,0,0,1,
3930276,11,74,456,1,0,0,0,
3930276,7,37,208,0,0,0,0,
3930277,4,84,527,0,0,0,1,
3930277,6,172,991,0,0,0,1,
3930277,7,39,217,0,0,0,0,
3930277,3,18,90,0,0,0,0,
3930277,5,15,77,0,0,0,0,
3930277,2,14,70,0,0,0,0,
3930277,1,130,793,0,0,0,1,
3930280,12,75,489,0,0,0,0,5483694.0
3930280,2,149,985,0,0,0,1,5483694.0
3930280,9,49,303,0,0,0,0,5483694.0
3930280,5,50,301,0,0,0,0,5483694.0
3930280,4,15,86,0,0,0,0,5483694.0
3930280,6,123,893,0,0,0,1,5483694.0
3930280,7,58,361,0,0,0,0,5483694.0
3930280,11,49,305,0,0,0,0,5483694.0
3930280,14,49,304,0,0,0,0,5483694.0
3930280,13,18,106,0,0,0,0,5483694.0
3930280,1,159,1063,0,0,0,1,5483694.0
3930280,10,15,86,0,0,0,0,5483694.0
3930280,8,78,487,0,0,0,0,5483694.0
3930280,15,221,1536,0,0,0,1,5483694.0
3930280,3,50,300,0,0,0,0,5483694.0
3930281,14,42,255,0,0,0,0,
3930281,4,72,408,0,0,0,0,
3930281,9,63,404,0,0,0,0,
3930281,1,302,1955,0,0,0,1,
3930281,3,76,460,0,0,0,0,
3930281,2,32,205,0,0,0,0,
3930281,11,71,417,0,0,0,0,
3930281,6,118,769,0,0,0,0,
3930281,15,92,570,0,0,0,0,
3930281,5,53,329,0,0,0,0,
3930281,8,85,538,0,0,0,0,
3930281,7,45,258,0,0,0,0,
3930281,12,69,439,0,0,0,0,
3930281,13,22,141,0,0,0,0,
3930281,10,85,538,0,0,0,0,
