pat_no,pat_clm_ct,pat_wrd_ct,pat_wrd_min,pat_dep_clm_ct,pat_dep_wrd_ct,pat_dep_wrd_min,pat_wrd_avg,pat_dep_wrd_avg,appl_id
3930271,3,175,54.0,1,32,32.0,58.33333,32.0,
3930274,1,228,228.0,6,242,30.0,228.0,40.33333,
3930276,5,627,94.0,7,328,24.0,125.4,46.85714,
3930277,3,389,85.0,4,90,15.0,129.6667,22.5,
3930280,4,656,124.0,11,517,16.0,164.0,47.0,5483694.0
3930281,1,303,303.0,14,939,23.0,303.0,67.07143,
3930282,1,309,309.0,7,545,62.0,309.0,77.85714,
3930285,5,919,106.0,16,778,25.0,183.8,48.625,
3930286,1,137,137.0,2,73,34.0,137.0,36.5,5530877.0
3930291,2,378,161.0,2,23,11.0,189.0,11.5,
3930296,3,747,155.0,38,2278,19.0,249.0,59.94737,5491994.0
3930298,5,990,144.0,3,97,27.0,198.0,32.33333,5554971.0
3930299,4,1145,115.0,1,220,220.0,286.25,220.0,
3930301,1,269,269.0,14,778,14.0,269.0,55.57143,
3930302,1,132,132.0,2,75,37.0,132.0,37.5,
3930303,1,186,186.0,0,0,,186.0,,
3930304,2,235,81.0,12,631,33.0,117.5,52.58333,
3930305,2,364,164.0,0,0,,182.0,,
3930307,2,226,99.0,11,401,21.0,113.0,36.45454,
3930311,1,122,122.0,0,0,,122.0,,5426487.0
3930318,4,926,159.0,6,290,18.0,231.5,48.33333,
3930320,2,525,247.0,4,389,70.0,262.5,97.25,
3930321,2,459,188.0,9,441,27.0,229.5,49.0,
3930324,1,223,223.0,9,302,18.0,223.0,33.55556,
3930325,2,201,85.0,6,167,20.0,100.5,27.83333,5491463.0
3930326,1,344,344.0,2,708,321.0,344.0,354.0,
3930328,1,62,62.0,3,68,21.0,62.0,22.66667,
3930329,1,93,93.0,3,87,26.0,93.0,29.0,
3930331,1,186,186.0,7,310,28.0,186.0,44.28571,
3930332,2,230,93.0,9,391,23.0,115.0,43.44444,
3930333,2,270,127.0,5,223,37.0,135.0,44.6,
3930338,1,131,131.0,6,188,21.0,131.0,31.33333,
3930339,1,164,164.0,3,147,31.0,164.0,49.0,
3930340,1,138,138.0,4,220,35.0,138.0,55.0,
3930341,1,87,87.0,12,551,26.0,87.0,45.91667,
3930342,14,2518,75.0,16,1053,31.0,179.8571,65.8125,
3930343,2,429,213.0,5,157,19.0,214.5,31.4,
3930344,3,467,128.0,5,325,16.0,155.6667,65.0,
3930345,1,298,298.0,3,196,43.0,298.0,65.33334,
3930347,2,281,137.0,5,312,40.0,140.5,62.4,
3930350,2,307,127.0,27,1150,12.0,153.5,42.59259,
3930351,2,276,131.0,4,128,19.0,138.0,32.0,
3930353,1,195,195.0,8,170,17.0,195.0,21.25,
3930362,5,1055,155.0,4,186,32.0,211.0,46.5,
3930364,2,243,81.0,10,803,19.0,121.5,80.3,
3930370,3,905,274.0,26,1073,13.0,301.6667,41.26923,
3930371,1,84,84.0,6,223,26.0,84.0,37.16667,
3930377,3,488,42.0,0,0,,162.6667,,5398538.0
3930380,4,1285,253.0,0,0,,321.25,,
3930381,1,192,192.0,5,205,25.0,192.0,41.0,
3930385,1,91,91.0,10,295,15.0,91.0,29.5,
3930388,5,997,138.0,15,582,17.0,199.4,38.8,
3930390,1,108,108.0,6,219,21.0,108.0,36.5,
3930391,3,791,225.0,0,0,,263.6667,,
3930394,1,341,341.0,2,128,48.0,341.0,64.0,
3930395,1,95,95.0,3,83,25.0,95.0,27.66667,
3930397,1,357,357.0,2,80,40.0,357.0,40.0,
3930401,3,375,110.0,10,378,26.0,125.0,37.8,
3930402,4,711,130.0,5,179,17.0,177.75,35.8,
3930404,4,1387,129.0,16,1022,12.0,346.75,63.875,5372202.0
3930408,1,90,90.0,9,275,21.0,90.0,30.55556,
3930412,2,402,192.0,8,173,15.0,201.0,21.625,
3930414,3,499,124.0,1,69,69.0,166.3333,69.0,
3930420,1,72,72.0,9,286,23.0,72.0,31.77778,5511930.0
3930421,1,76,76.0,3,79,25.0,76.0,26.33333,5541643.0
3930422,1,206,206.0,1,21,21.0,206.0,21.0,
3930427,1,131,131.0,1,57,57.0,131.0,57.0,
3930437,1,253,253.0,5,209,20.0,253.0,41.8,
3930443,1,176,176.0,1,77,77.0,176.0,77.0,
3930449,1,104,104.0,4,197,36.0,104.0,49.25,
3930450,4,507,97.0,12,494,23.0,126.75,41.16667,
3930451,2,278,135.0,12,278,15.0,139.0,23.16667,
3930453,1,158,158.0,10,461,20.0,158.0,46.1,
3930457,4,555,85.0,8,338,26.0,138.75,42.25,
3930458,1,296,296.0,11,394,16.0,296.0,35.81818,
3930459,1,465,465.0,3,174,23.0,465.0,58.0,
3930462,1,80,80.0,10,289,14.0,80.0,28.9,
3930463,1,180,180.0,4,100,17.0,180.0,25.0,
3930464,2,526,254.0,13,535,22.0,263.0,41.15385,
3930465,1,129,129.0,8,251,16.0,129.0,31.375,5541498.0
3930466,1,144,144.0,4,106,25.0,144.0,26.5,
3930471,5,1911,219.0,2,211,53.0,382.2,105.5,
3930475,2,357,102.0,8,570,29.0,178.5,71.25,
3930476,1,219,219.0,4,171,18.0,219.0,42.75,
3930481,1,129,129.0,19,853,15.0,129.0,44.89474,
3930488,1,105,105.0,4,88,18.0,105.0,22.0,
3930490,3,970,235.0,5,337,52.0,323.3333,67.4,
3930491,1,221,221.0,1,13,13.0,221.0,13.0,
3930492,1,390,390.0,4,153,22.0,390.0,38.25,
3930497,1,130,130.0,9,230,16.0,130.0,25.55556,
3930499,2,472,188.0,4,206,25.0,236.0,51.5,
3930500,1,176,176.0,2,69,32.0,176.0,34.5,
3930501,7,704,77.0,38,1310,16.0,100.5714,34.47368,
3930502,1,179,179.0,2,88,42.0,179.0,44.0,
3930505,2,258,118.0,22,1153,19.0,129.0,52.40909,5528810.0
3930506,2,370,139.0,5,148,15.0,185.0,29.6,
3930510,1,136,136.0,2,50,25.0,136.0,25.0,
3930512,1,263,263.0,9,428,20.0,263.0,47.55556,
3930514,1,198,198.0,3,51,13.0,198.0,17.0,
3930515,2,500,250.0,16,605,30.0,250.0,37.8125,
3930521,1,221,221.0,5,450,59.0,221.0,90.0,
3930524,1,117,117.0,11,625,42.0,117.0,56.81818,
3930526,2,240,98.0,19,753,19.0,120.0,39.63158,
3930528,9,1293,117.0,20,644,16.0,143.6667,32.2,
3930529,2,362,125.0,11,541,21.0,181.0,49.18182,
3930538,3,235,54.0,3,178,30.0,78.33334,59.33333,
3930541,1,94,94.0,1,39,39.0,94.0,39.0,
3930545,19,4896,163.0,5,246,30.0,257.6842,49.2,
3930546,1,132,132.0,3,224,57.0,132.0,74.66666,
3930548,3,490,124.0,8,288,17.0,163.3333,36.0,
3930549,4,395,59.0,14,373,19.0,98.75,26.64286,
3930551,2,339,167.0,14,502,17.0,169.5,35.85714,
3930552,4,683,113.0,8,471,35.0,170.75,58.875,
3930556,1,238,238.0,15,742,24.0,238.0,49.46667,5367337.0
3930559,1,224,224.0,4,252,32.0,224.0,63.0,
3930560,1,143,143.0,0,0,,143.0,,
3930561,1,94,94.0,5,172,16.0,94.0,34.4,
3930562,1,279,279.0,5,199,15.0,279.0,39.8,
3930566,2,818,308.0,2,99,38.0,409.0,49.5,
3930568,2,311,122.0,0,0,,155.5,,
3930573,2,444,128.0,9,620,29.0,222.0,68.88889,5533514.0
3930575,1,118,118.0,8,196,18.0,118.0,24.5,
3930576,1,444,444.0,7,393,26.0,444.0,56.14286,
3930577,1,261,261.0,6,260,33.0,261.0,43.33333,5510407.0
3930578,1,123,123.0,21,1054,14.0,123.0,50.19048,
3930579,1,400,400.0,5,208,34.0,400.0,41.6,
3930582,3,423,94.0,21,701,16.0,141.0,33.38095,
3930586,1,345,345.0,0,0,,345.0,,5379752.0
3930587,1,238,238.0,3,333,62.0,238.0,111.0,
3930588,1,111,111.0,6,167,17.0,111.0,27.83333,
3930589,2,470,206.0,5,121,19.0,235.0,24.2,
3930590,1,88,88.0,2,51,25.0,88.0,25.5,
3930591,1,114,114.0,5,151,18.0,114.0,30.2,
3930593,1,92,92.0,1,52,52.0,92.0,52.0,
3930594,1,237,237.0,3,186,52.0,237.0,62.0,
3930595,1,288,288.0,14,454,15.0,288.0,32.42857,
3930596,1,159,159.0,1,45,45.0,159.0,45.0,
3930597,1,177,177.0,16,844,20.0,177.0,52.75,
3930598,4,725,93.0,21,980,13.0,181.25,46.66667,
3930599,1,515,515.0,9,249,16.0,515.0,27.66667,
3930601,5,1584,205.0,18,1149,24.0,316.8,63.83333,5526372.0
3930602,1,234,234.0,6,181,13.0,234.0,30.16667,
3930603,8,779,73.0,14,500,15.0,97.375,35.71429,
3930604,2,700,251.0,1,187,187.0,350.0,187.0,
3930605,3,287,89.0,0,0,,95.66666,,
3930607,2,364,173.0,32,1884,25.0,182.0,58.875,
3930620,3,745,243.0,11,562,13.0,248.3333,51.09091,5461935.0
3930621,3,672,199.0,7,376,19.0,224.0,53.71429,
3930623,1,224,224.0,6,275,22.0,224.0,45.83333,
3930627,4,710,98.0,76,1775,11.0,177.5,23.35526,
3930629,1,78,78.0,20,507,14.0,78.0,25.35,
3930630,1,159,159.0,9,439,24.0,159.0,48.77778,
3930632,2,714,304.0,4,307,37.0,357.0,76.75,
3930637,3,195,51.0,19,578,17.0,65.0,30.42105,
3930641,1,169,169.0,4,187,46.0,169.0,46.75,
3930643,1,119,119.0,19,1165,27.0,119.0,61.31579,
3930644,5,949,135.0,7,944,69.0,189.8,134.8571,
3930648,1,347,347.0,1,61,61.0,347.0,61.0,
3930649,1,210,210.0,0,0,,210.0,,
3930651,1,97,97.0,4,187,32.0,97.0,46.75,
3930653,1,280,280.0,2,164,66.0,280.0,82.0,
3930654,1,231,231.0,5,251,33.0,231.0,50.2,
3930662,1,276,276.0,5,232,35.0,276.0,46.4,
3930664,3,703,192.0,0,0,,234.3333,,
3930665,2,333,153.0,6,133,17.0,166.5,22.16667,
3930666,3,508,138.0,3,124,27.0,169.3333,41.33333,5465838.0
3930680,14,3008,113.0,14,743,14.0,214.8571,53.07143,
3930682,3,917,240.0,7,238,17.0,305.6667,34.0,
3930684,6,1036,122.0,56,2501,17.0,172.6667,44.66071,
3930685,2,349,141.0,10,453,23.0,174.5,45.3,
3930689,1,137,137.0,6,292,20.0,137.0,48.66667,
3930691,5,597,96.0,11,568,18.0,119.4,51.63636,5460658.0
3930693,4,516,79.0,7,259,25.0,129.0,37.0,
3930697,2,190,82.0,8,260,17.0,95.0,32.5,
3930698,2,526,258.0,5,150,17.0,263.0,30.0,
3930699,2,752,361.0,2,173,86.0,376.0,86.5,
3930700,7,553,61.0,4,138,21.0,79.0,34.5,
3930702,1,390,390.0,0,0,,390.0,,
3930703,1,100,100.0,17,709,20.0,100.0,41.70588,
3930707,1,208,208.0,16,958,22.0,208.0,59.875,
3930708,1,87,87.0,2,85,30.0,87.0,42.5,5504135.0
3930715,1,27,27.0,5,98,8.0,27.0,19.6,
3930716,2,91,44.0,3,99,21.0,45.5,33.0,
3930722,2,191,65.0,0,0,,95.5,,
3930726,2,312,131.0,20,673,15.0,156.0,33.65,
3930729,5,688,47.0,34,1243,14.0,137.6,36.55882,
3930730,3,770,242.0,5,219,23.0,256.6667,43.8,
3930739,3,592,150.0,0,0,,197.3333,,
3930741,1,145,145.0,3,160,36.0,145.0,53.33333,
3930743,2,415,207.0,6,290,20.0,207.5,48.33333,
3930747,4,562,99.0,26,809,10.0,140.5,31.11539,
3930752,5,998,107.0,26,1545,21.0,199.6,59.42308,
3930756,6,1710,172.0,6,482,35.0,285.0,80.33334,
3930758,3,1539,360.0,0,0,,513.0,,
3930759,2,452,218.0,10,260,19.0,226.0,26.0,
3930771,3,460,123.0,4,254,39.0,153.3333,63.5,
3930775,2,512,246.0,0,0,,256.0,,
3930779,4,1100,199.0,2,124,46.0,275.0,62.0,
3930784,2,159,70.0,12,339,15.0,79.5,28.25,
3930785,1,181,181.0,6,166,14.0,181.0,27.66667,
3930786,1,126,126.0,7,436,20.0,126.0,62.28571,
3930789,1,210,210.0,4,134,19.0,210.0,33.5,
3930791,1,177,177.0,3,119,30.0,177.0,39.66667,
3930794,1,127,127.0,7,180,17.0,127.0,25.71428,
3930796,1,101,101.0,7,214,20.0,101.0,30.57143,
3930800,1,265,265.0,1,37,37.0,265.0,37.0,5392505.0
3930801,1,725,725.0,3,180,57.0,725.0,60.0,
3930803,1,231,231.0,4,188,18.0,231.0,47.0,
3930804,1,156,156.0,4,116,26.0,156.0,29.0,
3930805,1,265,265.0,4,123,24.0,265.0,30.75,
3930806,1,79,79.0,10,314,14.0,79.0,31.4,
3930809,1,225,225.0,5,207,22.0,225.0,41.4,5488403.0
3930811,1,160,160.0,3,57,14.0,160.0,19.0,
3930812,3,275,57.0,14,318,13.0,91.66666,22.71428,
3930814,1,179,179.0,9,267,18.0,179.0,29.66667,
3930818,1,267,267.0,2,94,37.0,267.0,47.0,
3930819,2,346,152.0,4,151,24.0,173.0,37.75,
3930829,5,1014,188.0,19,634,16.0,202.8,33.36842,
3930831,4,443,72.0,5,258,32.0,110.75,51.6,
3930841,2,265,126.0,6,236,21.0,132.5,39.33333,
3930846,1,147,147.0,5,180,20.0,147.0,36.0,
3930847,1,41,41.0,4,65,14.0,41.0,16.25,
3930857,1,175,175.0,6,183,13.0,175.0,30.5,
3930859,2,215,81.0,8,186,16.0,107.5,23.25,
3930860,2,534,263.0,8,422,17.0,267.0,52.75,
3930864,1,192,192.0,27,1176,13.0,192.0,43.55556,5461031.0
3930870,2,141,64.0,14,445,20.0,70.5,31.78572,
3930879,3,689,131.0,10,427,18.0,229.6667,42.7,
3930880,3,665,209.0,7,353,39.0,221.6667,50.42857,
3930881,3,206,54.0,6,126,15.0,68.66666,21.0,
3930885,3,627,201.0,0,0,,209.0,,
3930887,5,302,41.0,13,366,22.0,60.4,28.15385,
3930888,1,115,115.0,11,278,14.0,115.0,25.27273,
3930889,3,570,89.0,5,197,13.0,190.0,39.4,
3930890,1,120,120.0,5,126,23.0,120.0,25.2,
3930895,1,228,228.0,1,13,13.0,228.0,13.0,
3930896,1,224,224.0,4,101,12.0,224.0,25.25,
3930897,1,109,109.0,3,52,14.0,109.0,17.33333,
3930901,3,168,53.0,3,53,13.0,56.0,17.66667,
3930912,1,194,194.0,5,116,16.0,194.0,23.2,
3930914,5,758,97.0,5,254,29.0,151.6,50.8,
3930916,1,110,110.0,2,58,20.0,110.0,29.0,5480504.0
3930917,1,118,118.0,3,139,44.0,118.0,46.33333,
3930918,1,185,185.0,2,58,19.0,185.0,29.0,
3930925,1,164,164.0,3,114,27.0,164.0,38.0,
3930928,2,610,242.0,5,276,34.0,305.0,55.2,
3930929,1,209,209.0,4,225,31.0,209.0,56.25,
3930930,1,174,174.0,9,425,14.0,174.0,47.22222,
3930931,1,370,370.0,6,273,25.0,370.0,45.5,
3930934,4,836,151.0,1,54,54.0,209.0,54.0,
3930942,1,88,88.0,12,335,15.0,88.0,27.91667,
3930946,2,184,79.0,4,94,18.0,92.0,23.5,
3930947,1,52,52.0,5,86,13.0,52.0,17.2,
3930948,1,122,122.0,2,34,17.0,122.0,17.0,
3930951,1,135,135.0,5,124,22.0,135.0,24.8,
3930954,11,467,1.0,0,0,,42.45454,,
3930959,1,232,232.0,3,255,43.0,232.0,85.0,
3930960,4,1077,170.0,2,86,20.0,269.25,43.0,
3930961,2,379,149.0,6,187,18.0,189.5,31.16667,
3930962,3,102,22.0,4,120,20.0,34.0,30.0,
3930968,1,136,136.0,5,125,19.0,136.0,25.0,
3930969,4,510,88.0,26,338,12.0,127.5,13.0,
3930975,2,248,118.0,13,323,15.0,124.0,24.84615,
3930976,2,425,198.0,1,59,59.0,212.5,59.0,5438399.0
3930977,1,139,139.0,2,43,19.0,139.0,21.5,
3930980,4,742,88.0,18,884,17.0,185.5,49.11111,5051162.0
3930981,7,797,49.0,15,569,16.0,113.8571,37.93333,
3930982,2,475,208.0,8,266,13.0,237.5,33.25,
3930986,1,217,217.0,6,174,15.0,217.0,29.0,
3930988,3,320,68.0,9,532,20.0,106.6667,59.11111,
3930990,7,1623,168.0,46,1056,12.0,231.8571,22.95652,
3930992,3,600,190.0,8,490,26.0,200.0,61.25,
3930993,2,1644,708.0,13,614,27.0,822.0,47.23077,
3930995,5,1071,138.0,5,256,32.0,214.2,51.2,
3930997,1,151,151.0,0,0,,151.0,,
3931001,1,176,176.0,0,0,,176.0,,
3931005,2,248,122.0,14,380,16.0,124.0,27.14286,
3931010,1,328,328.0,4,154,19.0,328.0,38.5,
3931011,1,484,484.0,4,271,33.0,484.0,67.75,
3931012,1,301,301.0,1,175,175.0,301.0,175.0,
3931015,1,163,163.0,2,97,36.0,163.0,48.5,5529370.0
3931018,2,329,153.0,12,406,16.0,164.5,33.83333,5496029.0
3931025,2,116,20.0,5,154,17.0,58.0,30.8,5501740.0
3931027,3,302,76.0,14,539,26.0,100.6667,38.5,
3931029,3,385,124.0,36,1147,12.0,128.3333,31.86111,5514822.0
3931030,1,184,184.0,0,0,,184.0,,
3931036,2,402,191.0,8,262,31.0,201.0,32.75,5469149.0
3931045,1,124,124.0,10,209,12.0,124.0,20.9,
3931068,2,256,127.0,26,585,11.0,128.0,22.5,
3931074,3,310,88.0,18,359,12.0,103.3333,19.94444,
3931079,2,434,206.0,5,309,19.0,217.0,61.8,
3931082,2,265,130.0,8,289,20.0,132.5,36.125,
3931084,2,448,223.0,6,202,22.0,224.0,33.66667,
3931114,1,30,30.0,3,69,17.0,30.0,23.0,5434455.0
3931115,1,167,167.0,5,111,15.0,167.0,22.2,
3931117,1,175,175.0,3,84,23.0,175.0,28.0,
3931121,1,105,105.0,4,110,22.0,105.0,27.5,
3931130,1,207,207.0,9,195,12.0,207.0,21.66667,5433708.0
3931134,1,175,175.0,7,206,13.0,175.0,29.42857,
3931157,3,317,87.0,7,81,11.0,105.6667,11.57143,
3931161,5,465,61.0,6,175,23.0,93.0,29.16667,
3931164,1,40,40.0,2,145,18.0,40.0,72.5,
3931171,1,221,221.0,16,361,14.0,221.0,22.5625,
3931216,1,251,251.0,7,205,18.0,251.0,29.28572,
3931233,1,69,69.0,5,124,15.0,69.0,24.8,5396885.0
3931235,1,87,87.0,0,0,,87.0,,5429313.0
3931238,2,540,252.0,18,560,20.0,270.0,31.11111,
3931241,1,60,60.0,4,131,15.0,60.0,32.75,
3931251,1,137,137.0,8,131,10.0,137.0,16.375,
3931253,1,235,235.0,22,385,13.0,235.0,17.5,
3931254,1,100,100.0,10,229,11.0,100.0,22.9,
3931256,2,247,118.0,7,172,15.0,123.5,24.57143,5547854.0
3931258,1,113,113.0,9,340,13.0,113.0,37.77778,
3931259,1,172,172.0,6,251,18.0,172.0,41.83333,
3931262,1,390,390.0,33,681,11.0,390.0,20.63636,
3931265,1,109,109.0,11,416,18.0,109.0,37.81818,
3931271,1,129,129.0,7,199,18.0,129.0,28.42857,5118549.0
3931295,1,171,171.0,10,210,15.0,171.0,21.0,
3931298,5,460,65.0,20,533,12.0,92.0,26.65,5507925.0
3931305,1,119,119.0,7,190,14.0,119.0,27.14286,5389717.0
3931307,1,63,63.0,8,196,14.0,63.0,24.5,
3931316,2,133,63.0,9,358,18.0,66.5,39.77778,
3931333,1,122,122.0,8,221,21.0,122.0,27.625,
3931335,1,154,154.0,26,820,17.0,154.0,31.53846,5500806.0
3931342,1,165,165.0,11,332,18.0,165.0,30.18182,
3931357,1,227,227.0,17,408,12.0,227.0,24.0,
3931368,1,291,291.0,0,0,,291.0,,
3931369,1,424,424.0,1,38,38.0,424.0,38.0,
3931374,1,111,111.0,4,91,15.0,111.0,22.75,
3931375,1,290,290.0,2,69,27.0,290.0,34.5,
3931377,1,112,112.0,5,142,15.0,112.0,28.4,
3931378,2,406,202.0,4,85,12.0,203.0,21.25,
3931380,1,267,267.0,3,96,11.0,267.0,32.0,
3931382,5,871,77.0,12,336,13.0,174.2,28.0,
3931383,1,207,207.0,3,127,32.0,207.0,42.33333,
3931385,1,232,232.0,10,391,13.0,232.0,39.1,
3931388,1,224,224.0,6,203,15.0,224.0,33.83333,
3931392,1,86,86.0,7,163,12.0,86.0,23.28572,
3931400,2,129,61.0,1,46,46.0,64.5,46.0,
3931419,1,120,120.0,9,190,12.0,120.0,21.11111,
3931420,2,120,60.0,8,177,12.0,60.0,22.125,
3931424,3,315,60.0,8,236,16.0,105.0,29.5,
3931425,2,236,105.0,11,292,16.0,118.0,26.54545,
3931426,1,201,201.0,9,514,13.0,201.0,57.11111,
3931428,2,161,63.0,11,278,16.0,80.5,25.27273,
3931429,2,250,122.0,13,436,15.0,125.0,33.53846,
3931432,1,221,221.0,9,301,16.0,221.0,33.44444,
3931437,1,169,169.0,11,382,18.0,169.0,34.72727,
3931439,2,281,138.0,6,126,13.0,140.5,21.0,5497289.0
3931442,2,479,207.0,2,72,35.0,239.5,36.0,
3931446,2,149,33.0,9,196,13.0,74.5,21.77778,5449809.0
3931448,1,83,83.0,2,49,23.0,83.0,24.5,
3931449,2,643,289.0,15,649,17.0,321.5,43.26667,5388805.0
3931451,1,146,146.0,14,486,23.0,146.0,34.71429,
3931452,1,115,115.0,8,258,15.0,115.0,32.25,
3931453,2,114,48.0,0,0,,57.0,,
3931455,1,275,275.0,5,117,19.0,275.0,23.4,
3931457,2,241,103.0,3,73,20.0,120.5,24.33333,5344637.0
3931459,3,256,76.0,6,175,19.0,85.33334,29.16667,5439680.0
3931461,1,274,274.0,12,1117,24.0,274.0,93.08334,
3931466,2,267,58.0,17,818,29.0,133.5,48.11765,
3931469,3,641,202.0,4,147,26.0,213.6667,36.75,
3931470,2,212,94.0,4,140,18.0,106.0,35.0,
3931471,1,475,475.0,2,104,52.0,475.0,52.0,
3931475,1,413,413.0,10,733,14.0,413.0,73.3,
3931476,5,1192,145.0,27,851,15.0,238.4,31.51852,5430501.0
3931477,1,326,326.0,3,235,41.0,326.0,78.33334,
3931478,1,164,164.0,3,328,64.0,164.0,109.3333,5507323.0
3931479,1,358,358.0,4,565,59.0,358.0,141.25,
3931480,1,575,575.0,5,702,63.0,575.0,140.4,
3931481,3,2029,533.0,4,646,20.0,676.3333,161.5,
3931483,5,389,67.0,40,1910,25.0,77.8,47.75,5433593.0
