serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
70033953,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1899-11-07,0,0,0,0,000,2004-06-23,3S13,ZIG ZAG RULES Z.Z. STANLEY,0,0,0,,1899-12-26,1989-12-26,0,,0,0,0,0,0,0,0,0,0,0,900,2001-01-07,0,0,1,1,0,,,,,,,,,,,,,33953,5
70041127,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1902-10-20,0,0,0,0,,2013-09-18,5R07,MERCEDES,0,0,0,,1903-09-15,2013-09-15,0,,0,0,0,0,0,1,0,0,0,0,800,2013-09-18,0,0,1,1,0,,,,,,,,,,,,,41127,5
70041720,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1903-08-26,0,0,0,0,000,2004-06-23,3000,PINE=APPLE,0,0,0,,1903-12-22,1973-12-22,0,,0,0,0,0,0,0,0,0,0,0,900,1994-09-26,0,0,1,1,0,,,,,,,,,,,,,41720,5
71028714,,,0,0,0,0,2,2015-03-06,0,0,1,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,1,0,0,1,0,0,1907-07-11,0,0,0,0,,2015-03-06,5R07,MERCEDES,0,0,0,,1909-12-07,1999-12-07,0,,0,0,0,0,0,1,0,0,0,0,710,2015-03-06,0,0,1,1,0,,,,,,,,,,,,,76020,5
71029746,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1907-09-04,0,0,0,0,000,1996-02-18,1000,STANLEY,0,0,0,,1908-01-21,1968-01-21,0,,0,0,0,0,0,0,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,,67226,5
71029747,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1907-09-04,0,0,0,0,,2017-12-18,1000,STANLEY,0,0,0,,1907-12-17,2017-12-17,0,1990-04-17,1,1,0,0,0,1,0,0,0,0,800,2017-12-18,0,0,1,1,0,,,,,,,,,,,,,66675,5
71029748,,,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,POST REGISTRATION,0,0,,1,0,0,0,0,0,0,0,1907-09-04,0,0,0,0,,2018-03-12,1000,STANLEY,0,0,0,,1908-01-14,2018-01-14,0,1990-04-17,1,1,0,0,0,1,0,0,0,0,800,2018-03-12,0,0,1,1,0,,,,,,,,,,,,,67119,5
71039887,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1909-01-14,0,0,0,0,000,1996-03-13,1000,MARVEL,0,0,0,,1909-05-25,1969-05-25,0,1949-02-01,1,1,0,0,0,1,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,,73834,5
71054775,,,0,0,0,0,2,2020-03-16,0,0,0,0,0,0,0,0,0,0,TMEG LAW OFFICE 101,0,0,,1,0,1,0,0,1,0,0,1911-02-28,0,0,0,0,,2009-08-19,5R07,MERCEDES,0,0,0,,1914-11-03,2004-11-03,0,,0,0,0,0,0,1,0,0,0,0,710,2020-03-16,0,0,1,1,0,,,,,,,,,,,,,100958,5
71066576,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1912-10-28,0,0,0,0,000,2004-07-12,5000,MARVEL,0,0,0,,1913-03-18,1973-03-18,0,1954-06-29,1,1,0,0,0,1,0,0,0,0,900,1993-12-20,0,0,1,1,0,,,,,,,,,,,,,90758,5
