intl_class_cd,class_id,serial_no
009,327,70033953
012,439,70041127
029,450,70041720
006,2183,71028714
007,2183,71028714
008,2183,71028714
009,2183,71028714
011,2183,71028714
012,2183,71028714
016,2183,71028714
021,2183,71028714
028,2183,71028714
006,2225,71029746
009,2226,71029747
006,2227,71029748
007,2227,71029748
008,2227,71029748
009,2227,71029748
011,2227,71029748
012,2227,71029748
016,2227,71029748
021,2227,71029748
028,2227,71029748
016,2579,71039887
012,2950,71054775
007,3361,71066576
008,4119,71088293
003,4432,71099024
025,4644,71106538
024,4870,71115976
031,5188,71127395
001,5223,71128085
024,5547,71138217
006,5661,71141083
005,6083,71149499
011,6240,71151933
031,6904,71162956
009,6916,71163129
011,6916,71163129
016,7002,71164710
025,7366,71171209
016,7861,71178857
028,8126,71182889
024,10221,71211913
007,10310,71212990
008,11169,71225011
004,11416,71228853
009,11530,71230269
025,11812,71233923
005,12356,71241505
015,12718,71246138
016,13871,71263712
004,14387,71270961
031,14704,71276292
015,14708,71276350
007,15473,71288586
012,15473,71288586
022,15473,71288586
027,15473,71288586
007,15474,71288587
008,15474,71288587
012,15474,71288587
025,16357,71302693
007,17045,71311936
008,17045,71311936
009,17045,71311936
007,17048,71312020
009,17617,71318979
019,17618,71318980
002,17814,71321571
003,18679,71332645
033,19667,71345288
033,20074,71349970
033,20498,71355734
014,20794,71359687
025,21312,71366616
029,21773,71372566
016,22144,71377229
033,22725,71385670
033,22921,71388104
005,23081,71390632
006,23640,71399599
012,23640,71399599
006,23641,71399600
007,23642,71399601
009,23642,71399601
011,23642,71399601
011,23643,71399602
017,23644,71399603
006,23835,71402144
001,23836,71402145
009,23836,71402145
010,23836,71402145
008,23837,71402146
006,24100,71405742
014,24855,71416559
018,24856,71416560
018,24857,71416561
026,24858,71416561
008,24859,71416562
014,24859,71416562
010,24860,71416563
025,24860,71416563
026,24860,71416563
003,25602,71427088
005,26115,71433273
031,26348,71436440
003,26471,71438053
003,26700,71440615
032,27094,71444667
007,28427,71452241
008,28797,71454143
030,29103,71456050
002,30097,71462048
032,30981,71467432
012,33177,71482973
032,33318,71484032
003,39048,71524745
001,39049,71524746
030,39634,71527367
029,41092,71532582
016,42155,71536817
029,42887,71539757
003,42918,71539852
025,43023,71540274
003,45423,71550120
005,45423,71550120
003,45503,71550582
003,45648,71551168
009,45832,71552098
011,45832,71552098
014,46494,71555126
009,46943,71557116
001,46972,71557311
005,46972,71557311
029,46972,71557311
030,46972,71557311
031,46972,71557311
032,46972,71557311
003,48595,71565235
003,48861,71566499
005,49022,71567327
032,49944,71571985
031,50892,71576536
031,52403,71584211
030,53597,71589881
025,53922,71591708
006,54941,71596560
009,55787,71600856
007,56136,71602427
016,56307,71603232
007,56541,71604400
012,56541,71604400
006,56992,71606639
029,57539,71609304
012,57982,71611484
029,58001,71611545
029,58102,71611997
030,58102,71611997
021,59863,71620230
001,63494,71637337
001,63495,71637338
001,63772,71638740
031,64787,71643537
008,65693,71647584
029,66224,71650280
030,66484,71651467
017,66844,71653133
005,67331,71655276
012,68814,71662350
012,68815,71662351
042,69107,71663598
007,69313,71664579
009,69313,71664579
011,69313,71664579
012,69313,71664579
015,69313,71664579
009,70189,71668283
016,71934,71675947
025,72195,71677201
014,72196,71677202
018,72465,71678436
031,74185,71686257
020,74646,71688335
032,74703,71688507
007,75106,71690364
025,77026,71698775
014,78624,72004818
021,78637,72004856
005,79434,72008513
021,80062,72011088
003,80467,72012833
032,81335,72016664
012,83013,72023779
006,83062,72023985
007,83062,72023985
008,83062,72023985
009,83062,72023985
011,83062,72023985
012,83062,72023985
016,83062,72023985
021,83062,72023985
028,83062,72023985
024,83243,72024686
004,83669,72026615
009,84096,72028337
009,84602,72030696
031,84818,72031589
029,85337,72033842
029,85418,72034259
007,85450,72034404
016,85917,72036572
030,86699,72039935
014,87895,72045127
019,87896,72045128
021,87896,72045128
007,87897,72045129
002,87898,72045130
006,87899,72045131
003,87900,72045132
006,87901,72045133
013,87901,72045133
014,87901,72045133
015,87901,72045133
016,87901,72045133
018,87901,72045133
020,87901,72045133
021,87901,72045133
022,87901,72045133
034,87901,72045133
006,87902,72045134
012,87902,72045134
007,87902,72045134
003,87903,72045135
022,87904,72045136
024,87904,72045136
026,87904,72045136
027,87904,72045136
009,87905,72045137
011,87905,72045137
007,87906,72045138
012,87906,72045138
