own_addr_1,own_addr_2,own_addr_city,own_composed_of,own_addr_country_cd,own_altn_name,own_entity_desc,own_seq,own_entity_cd,own_nalty_country_cd,own_nalty_other_cd,own_nalty_state_cd,own_addr_other_cd,own_name,own_type_cd,own_addr_postal,own_addr_state_cd,own_id,serial_no
,195 LAKE STREET,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",40,06050,CT,547,70033953
,,NEW BRITAIN,,,,,1,3,,,CT,,STANLEY RULE AND LEVEL COMPANY,30,,CT,548,70033953
MERCEDESSTRAßE 120,,STUTTGART,,DE,,,1,3,DE,,,,MERCEDES-BENZ GROUP AG,44,70372,,726,70041127
,Mercedesstrasse 137,Stuttgart,,DE,,,1,3,DE,,,,DAIMLER AG,43,70327,,727,70041127
EPPLESTRASSE 225,,STUTTGART,,DE,,,1,3,DE,,,,DAIMLERCHRYSLER AG,42,70567,,728,70041127
,136 MERCEDES STRASSE,7000 STUTTGART 60 (UNTERTURKHEIM),,DE,,,1,3,DE,,,,MERCEDES-BENZ AKTIENGESELLSCHAFT,41,,,729,70041127
,,CANNSTADT,,DE,,,1,3,DE,,,,DAIMLER-MOTOREN-GESELLSCHAFT,30,,,730,70041127
,NO. 91 WILLIAM STREET,MELBOURNE,"COMPOSED OF SARAH HUTTON AND WILLIAM HUTTON, SUBJECTS OF THE BRITISH KING",AU,,FIRM,1,99,AU,,,,J. C. HUTTON,30,,,745,70041720
MERCEDESSTRASSE 137,,STUTTGART,,DE,,,1,3,DE,,,,DAIMLER AG,42,70327,,3736,71028714
Epplestrasse 225,70567 Stuttgart,,,DE,,,1,3,DE,,,,DaimlerChrysler AG,41,,,3737,71028714
,136 MERCEDES STRASSE,STUTTGART (UNTERTURKHEIM),,DE,,,1,3,DE,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,40,60,,3738,71028714
,FABRIK-STREET,UNTERTURKHEIM,,DE,,,1,3,DE,,,,DAIMLER-MOTOREN-GESELLSCHAFT,30,,,3739,71028714
,,NEW BRITAIN,,,,,1,3,,,CT,,STANLEY RULE AND LEVEL COMPANY,30,,CT,3795,71029746
